Feature,Importance,Coefficient
Cost,0.4275380551764015,0.4275380551764015
Objective_Sales,0.26195943593834753,-0.26195943593834753
Objective_Lead_Generation,0.2454065218233785,-0.2454065218233785
AdPlatform_Instagram,0.1879322402464025,-0.1879322402464025
TargetAgeGroup_35_44,0.13768519386309655,-0.13768519386309655
Objective_Engagement,0.10773719126480537,-0.10773719126480537
Objective_Traffic,0.10005328679377525,-0.10005328679377525
AdFormat_Story_Ad,0.08817029268214194,0.08817029268214194
AdFormat_Image_Ad,0.05955607270992022,0.05955607270992022
TargetInterests_photography,0.05846222433800835,-0.05846222433800835
CampaignDurationDays,0.05695650048783284,0.05695650048783284
TargetAgeGroup_All,0.052918276605261605,-0.052918276605261605
TargetAgeGroup_25_34,0.05191612655927767,-0.05191612655927767
TargetInterests_travel,0.05135649868414063,-0.05135649868414063
TargetInterests_health,0.047823803788738975,-0.047823803788738975
AdFormat_Video_Ad,0.04705627179273092,-0.04705627179273092
TargetInterests_finance,0.04600767694896443,-0.04600767694896443
TargetInterests_finance_lifestyle,0.03733640796240305,-0.03733640796240305
TargetInterests_finance_sports,0.03529267049016376,-0.03529267049016376
TargetInterests_health_fitness,0.03424245247578447,-0.03424245247578447
TargetInterests_fitness_health,0.033291629183462484,-0.033291629183462484
TargetInterests_technology,0.032880857936666494,-0.032880857936666494
TargetInterests_travel_finance,0.03284140991041621,-0.03284140991041621
TargetInterests_travel_technology,0.03215175528358619,-0.03215175528358619
TargetInterests_finance_travel,0.03148011936019519,-0.03148011936019519
TargetInterests_health_sports,0.03074101436712723,-0.03074101436712723
TargetInterests_travel_art,0.030204498920005145,-0.030204498920005145
TargetGender_Female,0.029985030031877503,-0.029985030031877503
TargetInterests_gaming_technology,0.029279764264532875,-0.029279764264532875
TargetInterests_gaming_health,0.028923526961483422,-0.028923526961483422
TargetInterests_technology_travel,0.02884298148253628,-0.02884298148253628
TargetInterests_health_food,0.027573819178170443,-0.027573819178170443
TargetInterests_art_photography,0.02751318002572641,-0.02751318002572641
TargetInterests_finance_photography,0.025802146864733533,-0.025802146864733533
TargetInterests_gaming_travel,0.02481928404640141,-0.02481928404640141
TargetInterests_gaming_photography,0.024562004204903738,-0.024562004204903738
